MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",65,22,0,266,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,18,0,186,54%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),51,52,10,458,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,Male,Graduate,B.A.; Educated at R.K.N.College,59,0,0,0,59%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,21,0,362,66%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,74,3,0,8,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,2,0,207,66%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,8,0,74,54%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",56,85,18,309,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Agatha K. Sangma,Elected,18-May-09,In office,Meghalaya,Tura,Nationalist Congress Party,Female,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,32,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ajay Kumar,Elected,01-Aug-11,In office,Jharkhand,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),Male,Professional Graduate,"MBBS, IPS",50,15,3,55,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",12.6,0.2,96,77%,13.4,0.5,74,66%
Ajay Maken,Elected,18-May-09,In office,Delhi,New Delhi,Indian National Congress,Male,Graduate,B.A.; Educated at University of Delhi,48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
